"Step","[No Pretraining]SafeLTAPPO-JSQDiscreteActor_N2S3_TRAIN_20230726-130159 - rollout_summary/mean_backlog","[No Pretraining]SafeLTAPPO-JSQDiscreteActor_N2S3_TRAIN_20230726-130159 - rollout_summary/mean_backlog__MIN","[No Pretraining]SafeLTAPPO-JSQDiscreteActor_N2S3_TRAIN_20230726-130159 - rollout_summary/mean_backlog__MAX"
"64701","2.5234375","2.5234375","2.5234375"
"65254","2.0703125","2.0703125","2.0703125"
"65807","2.083984375","2.083984375","2.083984375"
"66360","2.267578125","2.267578125","2.267578125"
"66913","2.494140625","2.494140625","2.494140625"
"67466","2.169921875","2.169921875","2.169921875"
"68019","2.751953125","2.751953125","2.751953125"
"68572","2.30859375","2.30859375","2.30859375"
"69125","2.779296875","2.779296875","2.779296875"
"69678","2.716796875","2.716796875","2.716796875"
"70231","2.046875","2.046875","2.046875"
"70784","2.435546875","2.435546875","2.435546875"
"71337","2.4375","2.4375","2.4375"
"71890","2.60546875","2.60546875","2.60546875"
"72443","2.328125","2.328125","2.328125"
"72996","2.755859375","2.755859375","2.755859375"
"73549","3.20703125","3.20703125","3.20703125"
"74102","2.59375","2.59375","2.59375"
"74655","2.322265625","2.322265625","2.322265625"
"75208","2.16796875","2.16796875","2.16796875"
"75761","3.15625","3.15625","3.15625"
"76314","3.021484375","3.021484375","3.021484375"
"76867","4.21875","4.21875","4.21875"
"77420","2.50390625","2.50390625","2.50390625"
"77973","2.41796875","2.41796875","2.41796875"
"78526","2.4453125","2.4453125","2.4453125"
"79079","2.55859375","2.55859375","2.55859375"
"79632","2.595703125","2.595703125","2.595703125"
"80185","2.4765625","2.4765625","2.4765625"
"80738","2.46484375","2.46484375","2.46484375"
"81291","2.228515625","2.228515625","2.228515625"
"81844","2.267578125","2.267578125","2.267578125"
"82397","2.076171875","2.076171875","2.076171875"
"82950","2.216796875","2.216796875","2.216796875"
"83503","2.3125","2.3125","2.3125"
"84056","2.162109375","2.162109375","2.162109375"
"84609","2.375","2.375","2.375"
"85162","2.166015625","2.166015625","2.166015625"
"85715","2.30859375","2.30859375","2.30859375"
"86268","2.376953125","2.376953125","2.376953125"
"86821","2.36328125","2.36328125","2.36328125"
"87374","2.5","2.5","2.5"
"87927","2.724609375","2.724609375","2.724609375"
"88480","2.201171875","2.201171875","2.201171875"
"89033","2.23828125","2.23828125","2.23828125"
"89586","2.439453125","2.439453125","2.439453125"
"90139","2.9765625","2.9765625","2.9765625"
"90692","2.265625","2.265625","2.265625"
"91245","2.31640625","2.31640625","2.31640625"
"91798","2.24609375","2.24609375","2.24609375"
"92351","2.244140625","2.244140625","2.244140625"
"92904","2.1328125","2.1328125","2.1328125"
"93457","3.03125","3.03125","3.03125"
"94010","2.564453125","2.564453125","2.564453125"
"94563","1.876953125","1.876953125","1.876953125"
"95116","2.59765625","2.59765625","2.59765625"
"95669","2.712890625","2.712890625","2.712890625"
"96222","3.2265625","3.2265625","3.2265625"
"96775","2.20703125","2.20703125","2.20703125"
"97328","2.421875","2.421875","2.421875"
"97881","2.37890625","2.37890625","2.37890625"
"98434","2.337890625","2.337890625","2.337890625"
"98987","2.083984375","2.083984375","2.083984375"
"99540","2.193359375","2.193359375","2.193359375"
"100093","2.048828125","2.048828125","2.048828125"
"100646","2.55078125","2.55078125","2.55078125"
"101199","2.162109375","2.162109375","2.162109375"
"101752","2.439453125","2.439453125","2.439453125"
"102305","4.3125","4.3125","4.3125"
"102858","2.71875","2.71875","2.71875"
"103411","2.845703125","2.845703125","2.845703125"
"103964","3.12109375","3.12109375","3.12109375"
"104517","2.103515625","2.103515625","2.103515625"
"105070","2.482421875","2.482421875","2.482421875"
"105623","2.498046875","2.498046875","2.498046875"
"106176","2.091796875","2.091796875","2.091796875"
"106729","2.412109375","2.412109375","2.412109375"
"107282","2.111328125","2.111328125","2.111328125"
"107835","2.208984375","2.208984375","2.208984375"
"108388","2.36328125","2.36328125","2.36328125"
"108941","2.587890625","2.587890625","2.587890625"
"109494","2.412109375","2.412109375","2.412109375"
"110047","2.572265625","2.572265625","2.572265625"
"110600","2.24609375","2.24609375","2.24609375"
"111153","2.587890625","2.587890625","2.587890625"
"111706","2.228515625","2.228515625","2.228515625"
"112259","2.103515625","2.103515625","2.103515625"
"112812","2.853515625","2.853515625","2.853515625"
"113365","2.486328125","2.486328125","2.486328125"
"113918","3.1484375","3.1484375","3.1484375"
"114471","2.205078125","2.205078125","2.205078125"
"115024","2.501953125","2.501953125","2.501953125"
"115577","2.021484375","2.021484375","2.021484375"
"116130","2.279296875","2.279296875","2.279296875"
"116683","2.212890625","2.212890625","2.212890625"
"117236","2.2734375","2.2734375","2.2734375"
"117789","2.361328125","2.361328125","2.361328125"
"118342","2.482421875","2.482421875","2.482421875"
"118895","2.388671875","2.388671875","2.388671875"
"119448","2.658203125","2.658203125","2.658203125"
"120001","2.97265625","2.97265625","2.97265625"
"120554","2.140625","2.140625","2.140625"
"121107","2.265625","2.265625","2.265625"
"121660","2.130859375","2.130859375","2.130859375"
"122213","2.46875","2.46875","2.46875"
"122766","2.1796875","2.1796875","2.1796875"
"123319","2.2734375","2.2734375","2.2734375"
"123872","2.42578125","2.42578125","2.42578125"
"124425","2.171875","2.171875","2.171875"
"124978","2.310546875","2.310546875","2.310546875"
"125531","2.298828125","2.298828125","2.298828125"
"126084","2.294921875","2.294921875","2.294921875"
"126637","2.458984375","2.458984375","2.458984375"
"127190","2.3125","2.3125","2.3125"
"127743","2.34375","2.34375","2.34375"
"128296","1.978515625","1.978515625","1.978515625"
"128849","1.986328125","1.986328125","1.986328125"
"129402","2.08203125","2.08203125","2.08203125"
"129955","1.908203125","1.908203125","1.908203125"
"130508","1.841796875","1.841796875","1.841796875"
"131061","2.0546875","2.0546875","2.0546875"
"131614","2.087890625","2.087890625","2.087890625"
"132167","1.853515625","1.853515625","1.853515625"
"132720","2.03125","2.03125","2.03125"
"133273","2.09375","2.09375","2.09375"
"133826","2.23828125","2.23828125","2.23828125"
"134379","2.109375","2.109375","2.109375"
"134932","2.421875","2.421875","2.421875"
"135485","2.2890625","2.2890625","2.2890625"
"136038","2.171875","2.171875","2.171875"
"136591","2.0546875","2.0546875","2.0546875"
"137144","2.2578125","2.2578125","2.2578125"
"137697","1.994140625","1.994140625","1.994140625"
"138250","2.17578125","2.17578125","2.17578125"
"138803","2.431640625","2.431640625","2.431640625"
"139356","2.330078125","2.330078125","2.330078125"
"139909","2.71484375","2.71484375","2.71484375"
"140462","2.259765625","2.259765625","2.259765625"
"141015","1.99609375","1.99609375","1.99609375"
"141568","1.884765625","1.884765625","1.884765625"
"142121","1.900390625","1.900390625","1.900390625"
"142674","1.876953125","1.876953125","1.876953125"
"143227","2.130859375","2.130859375","2.130859375"
"143780","2.4609375","2.4609375","2.4609375"
"144333","2.60546875","2.60546875","2.60546875"
"144886","2.25390625","2.25390625","2.25390625"
"145439","2.130859375","2.130859375","2.130859375"
"145992","2.119140625","2.119140625","2.119140625"
"146545","2.068359375","2.068359375","2.068359375"
"147098","1.89453125","1.89453125","1.89453125"
"147651","2.044921875","2.044921875","2.044921875"
"148204","2.04296875","2.04296875","2.04296875"
"148757","2.009765625","2.009765625","2.009765625"
"149310","2.169921875","2.169921875","2.169921875"
"149863","2.025390625","2.025390625","2.025390625"
"150416","1.875","1.875","1.875"
"150969","1.94921875","1.94921875","1.94921875"
"151522","1.802734375","1.802734375","1.802734375"
"152075","1.884765625","1.884765625","1.884765625"
"152628","2.208984375","2.208984375","2.208984375"
"153181","2.0390625","2.0390625","2.0390625"
"153734","2.052734375","2.052734375","2.052734375"
"154287","1.884765625","1.884765625","1.884765625"
"154840","1.91796875","1.91796875","1.91796875"
"155393","2.24609375","2.24609375","2.24609375"
